Customer_ID,Name,Gender,Age,City,State,Join_Date,Churn_Status,Churn_Date
CUST00001,Customer_1,Male,49,Delhi,Delhi,2020-01-01,No,
CUST00002,Customer_2,Female,53,Bangalore,Karnataka,2020-01-02,No,
CUST00003,Customer_3,Male,54,Bangalore,Karnataka,2020-01-03,No,
CUST00004,Customer_4,Male,31,Chennai,Tamil Nadu,2020-01-04,No,
CUST00005,Customer_5,Male,44,Delhi,Delhi,2020-01-05,No,
CUST00006,Customer_6,Female,36,Mumbai,Maharashtra,2020-01-06,Yes,2022-01-29
CUST00007,Customer_7,Male,48,Hyderabad,Telangana,2020-01-07,No,
CUST00008,Customer_8,Male,63,Kolkata,West Bengal,2020-01-08,No,
CUST00009,Customer_9,Male,26,Bangalore,Karnataka,2020-01-09,No,
CUST00010,Customer_10,Female,55,Chennai,Tamil Nadu,2020-01-10,No,
CUST00011,Customer_11,Male,34,Chennai,Tamil Nadu,2020-01-11,No,
CUST00012,Customer_12,Male,36,Kolkata,West Bengal,2020-01-12,No,
CUST00013,Customer_13,Male,61,Kolkata,West Bengal,2020-01-13,No,
CUST00014,Customer_14,Male,21,Pune,Maharashtra,2020-01-14,No,
CUST00015,Customer_15,Female,28,Jaipur,Rajasthan,2020-01-15,No,
CUST00016,Customer_16,Male,39,Delhi,Delhi,2020-01-16,Yes,2020-08-17
CUST00017,Customer_17,Female,21,Bangalore,Karnataka,2020-01-17,No,
CUST00018,Customer_18,Female,34,Bangalore,Karnataka,2020-01-18,Yes,2020-05-22
CUST00019,Customer_19,Female,25,Kolkata,West Bengal,2020-01-19,No,
CUST00020,Customer_20,Male,63,Jaipur,Rajasthan,2020-01-20,No,
CUST00021,Customer_21,Female,51,Hyderabad,Telangana,2020-01-21,No,
CUST00022,Customer_22,Male,28,Pune,Maharashtra,2020-01-22,No,
CUST00023,Customer_23,Female,48,Mumbai,Maharashtra,2020-01-23,No,
CUST00024,Customer_24,Female,28,Bangalore,Karnataka,2020-01-24,No,
CUST00025,Customer_25,Female,55,Chennai,Tamil Nadu,2020-01-25,No,
CUST00026,Customer_26,Female,38,Hyderabad,Telangana,2020-01-26,No,
CUST00027,Customer_27,Female,63,Kolkata,West Bengal,2020-01-27,No,
CUST00028,Customer_28,Female,47,Bangalore,Karnataka,2020-01-28,No,
CUST00029,Customer_29,Female,27,Delhi,Delhi,2020-01-29,Yes,2022-06-06
CUST00030,Customer_30,Female,43,Kolkata,West Bengal,2020-01-30,No,
CUST00031,Customer_31,Male,44,Chennai,Tamil Nadu,2020-01-31,No,
CUST00032,Customer_32,Male,25,Delhi,Delhi,2020-02-01,Yes,2021-02-16
CUST00033,Customer_33,Female,56,Pune,Maharashtra,2020-02-02,Yes,2021-01-17
CUST00034,Customer_34,Female,25,Kolkata,West Bengal,2020-02-03,Yes,2020-12-27
CUST00035,Customer_35,Female,25,Kolkata,West Bengal,2020-02-04,No,
CUST00036,Customer_36,Male,51,Bangalore,Karnataka,2020-02-05,No,
CUST00037,Customer_37,Female,33,Delhi,Delhi,2020-02-06,No,
